Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
5,tf,507993,507996,2025-02-12 07:35:00,2025-02-12 07:50:00,-1,95065.0,95227.85,3,-839.2500000000291,25.0,True,276,0.01
5,tf,508034,508052,2025-02-12 11:00:00,2025-02-12 12:30:00,1,96920.0,97034.85,18,549.2500000000291,25.0,True,276,0.01
5,tf,508076,508162,2025-02-12 14:30:00,2025-02-12 22:40:00,1,98015.0,97455.6,86,-2821.999999999971,25.0,True,276,0.01
5,tf,508305,508335,2025-02-13 10:35:00,2025-02-13 13:05:00,-1,95500.0,96323.7,30,-4143.499999999985,25.0,True,276,0.01
5,tf,508558,508565,2025-02-14 08:40:00,2025-02-14 09:15:00,1,97510.0,96945.75,7,-2846.25,25.0,True,276,0.01
5,tf,508586,508617,2025-02-14 11:00:00,2025-02-14 13:35:00,1,97925.0,98356.5,31,2132.5,25.0,True,276,0.01
5,tf,508647,508829,2025-02-16 17:05:00,2025-02-17 08:15:00,-1,96440.0,96904.45,182,-2347.2499999999854,25.0,True,276,0.01
5,tf,508848,508908,2025-02-17 09:50:00,2025-02-17 14:50:00,-1,95945.0,96263.1,60,-1615.500000000029,25.0,True,276,0.01
5,tf,509013,509082,2025-02-18 00:35:00,2025-02-18 06:20:00,-1,95310.0,96040.9,69,-3679.499999999971,25.0,True,276,0.01
5,tf,509134,509172,2025-02-18 10:40:00,2025-02-18 13:50:00,-1,95090.0,94238.05,38,4234.749999999985,25.0,True,276,0.01
5,tf,509385,509390,2025-02-19 08:35:00,2025-02-19 09:00:00,1,96775.0,95921.1,5,-4294.499999999971,25.0,True,276,0.01
5,tf,509475,509665,2025-02-19 17:05:00,2025-02-20 08:55:00,1,96890.0,97331.85,190,2184.250000000029,25.0,True,276,0.01
5,tf,509703,509938,2025-02-20 12:05:00,2025-02-21 08:40:00,1,98315.0,98767.35,235,2236.750000000029,25.0,True,276,0.01
5,tf,509975,510027,2025-02-21 11:45:00,2025-02-23 17:05:00,-1,97195.0,95525.8,52,8320.999999999985,25.0,True,276,0.01
5,tf,510218,510233,2025-02-24 09:00:00,2025-02-24 10:15:00,-1,94580.0,94672.35,15,-486.7500000000291,25.0,True,276,0.01
5,tf,510275,510285,2025-02-24 13:45:00,2025-02-24 14:35:00,-1,93735.0,94541.05,10,-4055.2500000000146,25.0,True,276,0.01
5,tf,510292,510318,2025-02-24 15:10:00,2025-02-24 18:20:00,-1,93605.0,91748.4,26,9258.00000000003,25.0,True,276,0.01
5,tf,510400,510407,2025-02-25 01:10:00,2025-02-25 01:45:00,-1,90840.0,88960.8,7,9370.999999999985,25.0,True,276,0.01
5,tf,510435,510436,2025-02-25 04:05:00,2025-02-25 04:10:00,-1,88080.0,88501.25,1,-2131.25,25.0,True,276,0.01
