entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
108112,108113,2019-06-30 19:10:00,2019-06-30 19:15:00,-1,10885.0,10943.35,1,-316.7500000000018,25.0,True
108260,108261,2019-07-01 07:30:00,2019-07-01 07:35:00,-1,10835.0,10897.9,1,-339.4999999999982,25.0,True
108263,108265,2019-07-01 07:45:00,2019-07-01 07:55:00,-1,10750.0,10796.9,2,-259.4999999999982,25.0,True
108279,108282,2019-07-01 09:05:00,2019-07-01 09:20:00,-1,10690.0,10791.85,3,-534.2500000000018,25.0,True
108287,108292,2019-07-01 09:45:00,2019-07-01 10:10:00,-1,10685.0,10408.05,5,1359.7500000000036,25.0,True
108296,108297,2019-07-01 10:30:00,2019-07-01 10:35:00,-1,10305.0,10332.3,1,-161.49999999999636,25.0,True
108298,108299,2019-07-01 10:40:00,2019-07-01 10:45:00,-1,10225.0,10261.6,1,-208.00000000000182,25.0,True
108349,108350,2019-07-01 14:55:00,2019-07-01 15:00:00,-1,10160.0,10251.5,1,-482.5,25.0,True
108439,108443,2019-07-01 23:25:00,2019-07-01 23:45:00,-1,10150.0,10029.3,4,578.5000000000036,25.0,True
108446,108447,2019-07-02 00:00:00,2019-07-02 00:05:00,-1,9930.0,10019.2,1,-471.00000000000364,25.0,True
108450,108451,2019-07-02 00:20:00,2019-07-02 00:25:00,-1,9920.0,9983.85,1,-344.2500000000018,25.0,True
108455,108462,2019-07-02 00:45:00,2019-07-02 01:20:00,-1,9885.0,9943.45,7,-317.25000000000364,25.0,True
108525,108527,2019-07-02 06:35:00,2019-07-02 06:45:00,-1,9845.0,9903.05,2,-315.24999999999636,25.0,True
108595,108596,2019-07-02 12:25:00,2019-07-02 12:30:00,1,10840.0,10771.2,1,-368.99999999999636,25.0,True
108598,108599,2019-07-02 12:40:00,2019-07-02 12:45:00,1,10880.0,10835.55,1,-247.25000000000364,25.0,True
108600,108606,2019-07-02 12:50:00,2019-07-02 13:20:00,1,10945.0,10835.55,6,-572.2500000000036,25.0,True
